compounds=6389  already_done=193  todo=6196
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[181/6196] BRD-K72536715-001-01-5 -6.33 (passes -6.33)                2.3s/lig ETA 230.9m
[182/6196] BRD-K54997624-001-06-0 -8.83 (passes -8.83)                2.3s/lig ETA 231.7m
[183/6196] BRD-K87424134-001-01-0 -6.14 (passes -6.14)                2.3s/lig ETA 230.5m
[184/6196] BRD-K91188791-001-15-9 -6.91 (passes -6.91)                2.3s/lig ETA 229.2m
[185/6196] BRD-K01826806-050-02-9 -6.78 (passes -6.78)                2.3s/lig ETA 229.7m
[186/6196] BRD-K33396764-001-11-1 -6.91 (passes -6.91)                2.4s/lig ETA 235.9m
[187/6196] BRD-A42335949-300-10-6 -6.59 (passes -6.59)                2.4s/lig ETA 237.1m
[188/6196] BRD-K68928792-001-03-2 -8.67 (passes -8.67)                2.4s/lig ETA 239.4m
[189/6196] BRD-A82892199-001-04-1 -7.84 (passes -7.84)                2.4s/lig ETA 240.5m
[190/6196] BRD-K66896751-001-02-4 -7.11 (passes -7.11)                2.4s/lig ETA 240.0m
[191/6196] BRD-K01825817-003-02-9 -7.18 (passes -7.18)                2.4s/lig ETA 239.9m
[192/6196] BRD-K35498378-001-07-9 -9.26 (passes -9.26)                2.4s/lig ETA 238.9m
[193/6196] BRD-K30020243-051-04-1 -6.88 (passes -6.88)                2.4s/lig ETA 239.5m
[194/6196] BRD-K21415491-001-01-4 -7.63 (passes -7.63)                2.4s/lig ETA 238.7m
[195/6196] BRD-A56675431-001-13-9 -8.62 (passes -8.62)                2.4s/lig ETA 241.2m
[196/6196] BRD-K00610438-003-03-3 -9.70 (passes -9.70)                2.4s/lig ETA 241.0m
[197/6196] BRD-K52681925-050-02-9 -7.16 (passes -7.16)                2.4s/lig ETA 239.7m
[198/6196] BRD-K00004605-001-01-9 -7.05 (passes -7.05)                2.4s/lig ETA 239.8m
[199/6196] BRD-K50276048-001-02-9 -8.46 (passes -8.46)                2.4s/lig ETA 239.1m
[200/6196] BRD-A61850409-001-10-7 -6.89 (passes -6.89)                2.4s/lig ETA 238.2m
[201/6196] BRD-K67043667-001-26-4 -6.05 (passes -6.05)                2.4s/lig ETA 237.4m
[202/6196] BRD-K52459643-001-15-1 -6.80 (passes -6.80)                2.4s/lig ETA 236.2m
[203/6196] BRD-K87909389-003-09-9 -5.87 (passes -5.87)                2.4s/lig ETA 238.4m
[204/6196] BRD-K89055274-048-23-5 -6.76 (passes -6.76)                2.4s/lig ETA 238.1m
[205/6196] BRD-K78627070-001-01-5 -9.48 (passes -9.48)                2.4s/lig ETA 240.5m
[206/6196] BRD-K07857022-002-02-9 -8.93 (passes -8.93)                2.4s/lig ETA 239.7m
[207/6196] BRD-K59013864-001-01-1 -5.32 (passes -5.32)                2.4s/lig ETA 238.6m
[208/6196] BRD-A66116161-001-02-3 -8.05 (passes -8.05)                2.4s/lig ETA 238.9m
[209/6196] BRD-K53979406-003-03-6 -8.54 (passes -8.54)                2.4s/lig ETA 239.4m
[210/6196] BRD-K59419204-001-03-9 -6.84 (passes -6.84)                2.4s/lig ETA 240.3m
[211/6196] BRD-K37151368-001-01-7 -6.97 (passes -6.97)                2.4s/lig ETA 239.2m
[212/6196] BRD-K92000912-001-14-9 -6.78 (passes -6.78)                2.4s/lig ETA 238.1m
[213/6196] BRD-K06854232-001-22-3 -9.46 (passes -9.46)                2.4s/lig ETA 237.2m
[214/6196] BRD-K63533170-001-03-7 -7.98 (passes -7.98)                2.4s/lig ETA 241.3m
[215/6196] BRD-K23952234-236-03-4 -9.01 (passes -9.01)                2.4s/lig ETA 243.9m
[216/6196] BRD-K00005238-001-01-9 -8.75 (passes -8.75)                2.4s/lig ETA 243.0m
[217/6196] BRD-K70330367-003-08-7 -5.70 (passes -5.70)                2.4s/lig ETA 242.3m
[218/6196] BRD-K01826811-003-03-9 -7.79 (passes -7.79)                2.4s/lig ETA 241.4m
[219/6196] BRD-K55462201-001-08-9 -7.42 (passes -7.42)                2.4s/lig ETA 241.4m
[220/6196] BRD-K11244467-002-01-8 -6.76 (passes -6.76)                2.4s/lig ETA 241.2m
[221/6196] BRD-K56558538-003-14-3 -7.57 (passes -7.57)                2.4s/lig ETA 241.7m
[222/6196] BRD-K41185545-001-03-9 -7.80 (passes -7.80)                2.4s/lig ETA 242.5m
[223/6196] BRD-K00003152-001-01-9 -7.14 (passes -7.14)                2.4s/lig ETA 241.6m
[224/6196] BRD-A36010170-001-04-0 -6.24 (passes -6.24)                2.4s/lig ETA 243.2m
[225/6196] BRD-K42948882-305-02-9 -8.65 (passes -8.65)                2.5s/lig ETA 245.7m
[226/6196] BRD-K48173020-001-02-9 -9.24 (passes -9.24)                2.5s/lig ETA 246.1m
[227/6196] BRD-K41051431-001-02-4 -5.80 (passes -5.80)                2.5s/lig ETA 246.3m
[228/6196] BRD-K00003244-001-01-9 -6.53 (passes -6.53)                2.5s/lig ETA 245.7m
[229/6196] BRD-K51387999-067-01-6 -7.00 (passes -7.00)                2.5s/lig ETA 245.9m
[230/6196] BRD-K82122102-323-01-1 -8.68 (passes -8.68)                2.5s/lig ETA 246.9m
[231/6196] BRD-K11292736-300-02-8 -7.63 (passes -7.63)                2.5s/lig ETA 246.2m
[232/6196] BRD-K50813454-001-01-9 -9.01 (passes -9.01)                2.5s/lig ETA 246.5m
[233/6196] BRD-K00004966-001-01-9 -8.00 (passes -8.00)                2.5s/lig ETA 246.2m
[234/6196] BRD-K32285926-001-02-1 -10.01 (passes -10.01)              2.5s/lig ETA 249.1m
[235/6196] BRD-K88443722-001-01-7 -7.45 (passes -7.45)                2.5s/lig ETA 248.1m
[236/6196] BRD-K00004726-001-01-9 -5.60 (passes -5.60)                2.5s/lig ETA 248.1m
[237/6196] BRD-K21077415-001-01-5 -10.23 (passes -10.23)              2.5s/lig ETA 250.1m
[238/6196] BRD-K00004968-001-01-9 -4.68 (passes -4.68)                2.5s/lig ETA 249.1m
[239/6196] BRD-K03019184-439-01-0 -5.91 (passes -5.91)                2.5s/lig ETA 250.8m
[240/6196] BRD-K27061362-001-01-6 -9.47 (passes -9.47)                2.5s/lig ETA 249.7m
[241/6196] BRD-K64925568-001-01-8 -5.42 (passes -5.42)                2.5s/lig ETA 249.3m
[242/6196] BRD-K34185671-001-03-9 -9.63 (passes -9.63)                2.5s/lig ETA 251.9m
[243/6196] BRD-K00010385-001-01-9 -5.93 (passes -5.93)                2.6s/lig ETA 254.2m
[244/6196] BRD-K43802723-238-02-9 -9.00 (passes -9.00)                2.6s/lig ETA 253.3m
[245/6196] BRD-K86673452-001-01-7 -9.44 (passes -9.44)                2.6s/lig ETA 253.2m
[246/6196] BRD-K83988098-003-03-4 -3.43 (passes -3.43)                2.6s/lig ETA 253.3m
[247/6196] BRD-K01995783-001-02-4 -8.31 (passes -8.31)                2.5s/lig ETA 252.4m
[248/6196] BRD-K97452254-001-01-3 -9.35 (passes -9.35)                2.5s/lig ETA 251.6m
[249/6196] BRD-A58947127-001-01-6 -10.01 (passes -10.01)              2.6s/lig ETA 253.2m
[250/6196] BRD-K75114721-304-02-6 -10.06 (passes -10.06)              2.6s/lig ETA 253.3m
[251/6196] BRD-K12568846-001-17-9 -7.49 (passes -7.49)                2.6s/lig ETA 253.3m
[252/6196] BRD-A19401019-001-01-3 -6.51 (passes -6.51)                2.6s/lig ETA 253.7m
[253/6196] BRD-K04374714-003-02-9 -9.67 (passes -9.67)                2.6s/lig ETA 252.8m
